Tue Nov 15 12:01:59 2022    exec.dat

         1160897 function calls (1092410 primitive calls) in 5.016 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5452    0.002    0.000    0.002    0.000 /usr/lib/python3.8/enum.py:22(_is_dunder)
     5750    0.002    0.000    0.002    0.000 {built-in method setCosmetic}
       91    0.002    0.000    0.002    0.000 {built-in method numpy.zeros}
     3437    0.002    0.000    0.006    0.000 /usr/lib/python3.8/re.py:289(_compile)
      302    0.002    0.000    0.007    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:465(draw_ball_speed)
       12    0.002    0.000    0.002    0.000 {built-in method setFont}
      371    0.002    0.000    0.007    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/TextItem.py:187(updateTransform)
       12    0.002    0.000    0.002    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:210(glCompileShader)
     3630    0.002    0.000    0.003    0.000 /usr/lib/python3.8/threading.py:246(__enter__)
     5436    0.002    0.000    0.002    0.000 {method 'HasField' of 'google.protobuf.pyext._message.CMessage' objects}
        2    0.002    0.001    0.002    0.001 {built-in method posix.listdir}
       26    0.002    0.000    0.013    0.001 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/shaders/parsing.py:120(find_program_variables)
      116    0.002    0.000    0.008    0.000 /usr/lib/python3.8/re.py:203(sub)
     4704    0.002    0.000    0.002    0.000 {built-in method isVisible}
      698    0.002    0.000    0.004    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/GraphicsWidget.py:53(shape)
      165    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     3624    0.002    0.000    0.003    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/TextItem.py:182(setVisible)
