Tue Nov 15 12:00:56 2022    exec.dat

         1158139 function calls (1089395 primitive calls) in 4.889 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2594    0.003    0.000    0.005    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__pyqtgraph/pyqtgraph/graphicsItems/ViewBox/ViewBox.py:1065(itemBoundsChanged)
      687    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2614    0.002    0.000    0.003    0.000 /usr/lib/python3.8/weakref.py:471(pop)
     6796    0.002    0.000    0.002    0.000 {built-in method setBrush}
      296    0.002    0.000    0.017    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/obstacle_layer.py:25(paint)
    13351    0.002    0.000    0.002    0.000 {built-in method builtins.max}
     5334    0.002    0.000    0.002    0.000 /opt/tbotspython/lib/python3.8/site-packages/google/protobuf/json_format.py:380(_IsWrapperMessage)
       14    0.002    0.000    0.002    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:1021(glShaderSource)
       35    0.002    0.000    0.002    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:1289(glUseProgram)
     1843    0.002    0.000    0.005    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__numpy/numpy/core/numeric.py:1873(isscalar)
       36    0.002    0.000    0.011    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/visuals/shaders/parsing.py:120(find_program_variables)
       32    0.002    0.000    0.002    0.000 {built-in method io.open_code}
     3558    0.002    0.000    0.020    0.000 /usr/lib/python3.8/queue.py:192(get_nowait)
       28    0.002    0.000    0.002    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/thunderscope_deps/pypi__vispy/vispy/gloo/gl/_gl2.py:706(glGetProgramParameter)
      296    0.002    0.000    0.015    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/field/world_layer.py:382(draw_ball_state)
      594    0.002    0.000    0.012    0.000 /home/nima/.cache/bazel/_bazel_nima/d4d8c6a2a61c53de6e279fde073469b4/execroot/__main__/bazel-out/k8-fastbuild/bin/software/thunderscope/thunderscope_main.runfiles/__main__/software/thunderscope/log/g3log_widget.py:48(refresh)
